GENENAME	GENEID
Slc25a18	ENSMUSG00000004902
Pik3ip1	ENSMUSG00000034614
Lgalsl	ENSMUSG00000042363
Pank4	ENSMUSG00000029056
Plch2	ENSMUSG00000029055
Trim2	ENSMUSG00000027993
4930564D02Rik	ENSMUSG00000051788
Kpna2	ENSMUSG00000018362
Kcnj5	ENSMUSG00000032034
Kcnj1	ENSMUSG00000041248
Samd7	ENSMUSG00000051860
Ubtd1	ENSMUSG00000025171
Ankrd2	ENSMUSG00000025172
Armc9	ENSMUSG00000062590
Tdrd7	ENSMUSG00000035517
Podxl	ENSMUSG00000025608
Kcnj13	ENSMUSG00000079436
Bin3	ENSMUSG00000022089
Ccar2	ENSMUSG00000033712
Nxnl1	ENSMUSG00000034829
Slc27a1	ENSMUSG00000031808
Klf16	ENSMUSG00000035397
Tmem266	ENSMUSG00000032313
Jag1	ENSMUSG00000027276
Lmna	ENSMUSG00000028063
Mex3a	ENSMUSG00000074480
Reep6	ENSMUSG00000035504
Pcsk4	ENSMUSG00000020131
Ap1b1	ENSMUSG00000009090
Ccdc136	ENSMUSG00000029769
Fam120a	ENSMUSG00000038014
Atp13a3	ENSMUSG00000022533
Fam53b	ENSMUSG00000030956
Gramd2	ENSMUSG00000074259
Pkm	ENSMUSG00000032294
Stard9	ENSMUSG00000033705
Fam83d	ENSMUSG00000027654
Sec14l2	ENSMUSG00000003585
Stac2	ENSMUSG00000017400
Mef2d	ENSMUSG00000001419
Ddhd2	ENSMUSG00000061313
Saal1	ENSMUSG00000006763
Tph1	ENSMUSG00000040046
Hk2	ENSMUSG00000000628
Prpf19	ENSMUSG00000024735
Tmem109	ENSMUSG00000034659
Wdr66	ENSMUSG00000029442
Nr2e3	ENSMUSG00000032292
Tmod1	ENSMUSG00000028328
Elac1	ENSMUSG00000036941
Abcg4	ENSMUSG00000032131
Reep2	ENSMUSG00000038555
Htr6	ENSMUSG00000028747
Nbl1	ENSMUSG00000041120
Skp2	ENSMUSG00000054115
Nadk2	ENSMUSG00000022253
Hps3	ENSMUSG00000027615
Cp	ENSMUSG00000003617
Rasa2	ENSMUSG00000032413
Eno1	ENSMUSG00000063524
Xrra1	ENSMUSG00000035211
Cpz	ENSMUSG00000036596
Abcf3	ENSMUSG00000003234
Zdhhc7	ENSMUSG00000031823
Hexa	ENSMUSG00000025232
Celf6	ENSMUSG00000032297
Kifc3	ENSMUSG00000031788
Cfdp1	ENSMUSG00000031954
Kdm5b	ENSMUSG00000042207
Ociad2	ENSMUSG00000029153
Ociad1	ENSMUSG00000029152
Batf	ENSMUSG00000034266
Spg7	ENSMUSG00000000738
Nphp4	ENSMUSG00000039577
Zfp710	ENSMUSG00000048897
Man2a2	ENSMUSG00000038886
Ccdc24	ENSMUSG00000078588
Prr3	ENSMUSG00000038500
Irf2bp2	ENSMUSG00000051495
Sec16a	ENSMUSG00000026924
Notch1	ENSMUSG00000026923
Kmt5c	ENSMUSG00000059851
Trim36	ENSMUSG00000033949
Alpk2	ENSMUSG00000032845
Zdhhc24	ENSMUSG00000006463
Bbs1	ENSMUSG00000006464
Slc23a2	ENSMUSG00000027340
Sparc	ENSMUSG00000018593
9430069I07Rik	ENSMUSG00000094447
Matn2	ENSMUSG00000022324
Zcchc8	ENSMUSG00000029427
Rsrc2	ENSMUSG00000029422
Sos2	ENSMUSG00000034801
L2hgdh	ENSMUSG00000020988
Brf1	ENSMUSG00000011158
Ndrg3	ENSMUSG00000027634
Lrrc3	ENSMUSG00000051652
Trpm2	ENSMUSG00000009292
Mgat5b	ENSMUSG00000043857
Chrna2	ENSMUSG00000022041
Ankrd33	ENSMUSG00000047034
Nemp2	ENSMUSG00000043015
Gle1	ENSMUSG00000019715
Gtf2b	ENSMUSG00000028271
Kyat3	ENSMUSG00000040213
Ppargc1a	ENSMUSG00000029167
Abca4	ENSMUSG00000028125
Arl6ip1	ENSMUSG00000030654
Pitpna	ENSMUSG00000017781
Tube1	ENSMUSG00000019845
Fam229b	ENSMUSG00000051736
Mtfr1	ENSMUSG00000027601
Tulp1	ENSMUSG00000037446
Rnf19a	ENSMUSG00000022280
Saxo2	ENSMUSG00000038570
Gpt	ENSMUSG00000022546
Tagln2	ENSMUSG00000026547
Thrb	ENSMUSG00000021779
Zdhhc5	ENSMUSG00000034075
Tmx2	ENSMUSG00000050043
Dusp9	ENSMUSG00000031383
Crtc3	ENSMUSG00000030527
2510009E07Rik	ENSMUSG00000043391
Agtrap	ENSMUSG00000029007
Draxin	ENSMUSG00000029005
Twsg1	ENSMUSG00000024098
Gpat3	ENSMUSG00000029314
Npc2	ENSMUSG00000021242
B4galt1	ENSMUSG00000028413
Ssr2	ENSMUSG00000041355
Ghitm	ENSMUSG00000041028
Ccr5	ENSMUSG00000079227
Grsf1	ENSMUSG00000044221
Gbx2	ENSMUSG00000034486
Rasl10b	ENSMUSG00000020684
S100z	ENSMUSG00000021679
F2rl1	ENSMUSG00000021678
0610009B22Rik	ENSMUSG00000007777
Ctif	ENSMUSG00000052928
Amigo3	ENSMUSG00000032593
Flcn	ENSMUSG00000032633
Nup210	ENSMUSG00000030091
Scap	ENSMUSG00000032485
Doc2b	ENSMUSG00000020848
Ywhae	ENSMUSG00000020849
Glb1l2	ENSMUSG00000036395
Osgep	ENSMUSG00000006289
Xpnpep3	ENSMUSG00000022401
Khdrbs3	ENSMUSG00000022332
Bsg	ENSMUSG00000023175
Gzmm	ENSMUSG00000054206
Cops2	ENSMUSG00000027206
Slc24a3	ENSMUSG00000063873
Nup205	ENSMUSG00000038759
Pom121	ENSMUSG00000053293
Ccdc187	ENSMUSG00000048038
Gpsm1	ENSMUSG00000026930
Slc16a6	ENSMUSG00000041920
Noxa1	ENSMUSG00000036805
Nrarp	ENSMUSG00000078202
Rpp25	ENSMUSG00000062309
Gpx4	ENSMUSG00000075706
Bcl7a	ENSMUSG00000029438
Bhlhb9	ENSMUSG00000072964
Arhgap26	ENSMUSG00000036452
Arhgap26	ENSMUSG00000118193
Fntb	ENSMUSG00000033373
Pias3	ENSMUSG00000028101
Nudt17	ENSMUSG00000028100
Zc3h3	ENSMUSG00000075600
Trap1	ENSMUSG00000005981
Sec22b	ENSMUSG00000027879
Zfp787	ENSMUSG00000046792
Prr7	ENSMUSG00000034686
Pla2g1b	ENSMUSG00000029522
Mkrn2	ENSMUSG00000000439
Btbd7	ENSMUSG00000041702
Dclre1c	ENSMUSG00000026648
Ern1	ENSMUSG00000020715
Kmt2d	ENSMUSG00000048154
Plekhg3	ENSMUSG00000052609
Muc4	ENSMUSG00000118672
Rps17	ENSMUSG00000061787
Ccdc126	ENSMUSG00000050786
Otp	ENSMUSG00000021685
Tbl1xr1	ENSMUSG00000027630
Slc2a13	ENSMUSG00000036298
Tmem214	ENSMUSG00000038828
Mapre3	ENSMUSG00000029166
Rfx1	ENSMUSG00000031706
