genotype	rep	gene	p0	p3	p5	p7	p10	p14	p21
khom	9	Arr3				18.16285687			
khom	10	Arr3							
wt	1	Gnat2		9.58489 	9.52004 		7.862535 	6.651424 	
wt	2	Gnat2		9.22424 	9.25868 		8.040898 	6.558097 	
wt	3	Gnat2		8.99081 	9.80870 		7.793747 	6.842117 	
wt	4	Gnat2		9.04580 	8.26941 		8.043495 	6.530463 	
wt	5	Gnat2			8.291598 				
wt	6	Gnat2			8.386705 				6.77598 
wt	7	Gnat2			8.83586 				6.16994 
ehet	1	Gnat2		9.975764 	9.97576 				
ehet	2	Gnat2		9.640665 	9.64067 				
ehet	3	Gnat2		9.325680 	9.32568 				
ehet	4	Gnat2		8.964040 	8.96404 				
ehet	5	Gnat2							
ehet	6	Gnat2							
ehom	1	Gnat2		10.427396 	10.42740 				
ehom	2	Gnat2		10.185572 	10.18557 				
ehom	3	Gnat2		9.988121 	9.98812 				
ehom	4	Gnat2		10.041864 	10.04186 				
ehom	5	Gnat2							
ehom	6	Gnat2							
khet	1	Gnat2		11.223387 	10.70649 		9.386896 	7.05298 	6.56171 
khet	2	Gnat2		11.032515 	11.67828 		9.609279 	7.02197 	6.48428 
khet	3	Gnat2		11.233854 		7.502623 	9.830796 	7.44074 	7.02570 
khet	4	Gnat2		11.139515 	10.71352 	7.860812 	9.859171 	7.54557 	6.39850 
khet	5	Gnat2							
khet	6	Gnat2							
khom	1	Gnat2		10.672763 	10.70777 	8.968516 	8.550665 	8.61400 	9.17615 
khom	2	Gnat2		11.127660 	9.93289 	8.750444 	8.440068 	8.47283 	9.57916 
khom	3	Gnat2		10.708190 	9.70784 	8.812527 	8.546755 	8.24312 	8.87639 
khom	4	Gnat2		9.458551 	9.07570 	8.795157 	8.206042 	8.34808 	9.11635 
khom	5	Gnat2							
khom	6	Gnat2							
khom	7	Gnat2				8.517396 			
khom	8	Gnat2				8.609956 			
khom	9	Gnat2				8.686606 			
khom	10	Gnat2				8.641069 			
wt	1	Vsx2			11.33418 	8.484418 	9.47392 		
wt	2	Vsx2			10.95494 	8.887787 	10.19984 		
wt	3	Vsx2			11.03784 	8.042195 	8.56781 		
wt	4	Vsx2			9.72289 	7.539107 	9.20675 		
wt	5	Vsx2		10.94879 	8.07635 	7.30067 	8.14925 		
wt	6	Vsx2		9.77773 	8.94210 	7.19988 	8.83816 		
wt	7	Vsx2			9.43107 				
ehet	1	Vsx2			10.90978 	6.963393 	10.76843 		
ehet	2	Vsx2			11.87473 	6.746644 	10.17427 		
ehet	3	Vsx2			13.62457 	7.574129 	10.40087 		
ehet	4	Vsx2			10.21135 	8.281981 	10.95415 		
ehet	5	Vsx2		12.06569 	9.64947 	5.75988 			
ehet	6	Vsx2		9.81440 	9.65631 	7.03159 			
ehom	1	Vsx2			8.95526 	7.528786 			
ehom	2	Vsx2			10.56087 	7.006950 	9.343381 		
ehom	3	Vsx2			8.73750 	8.230767 	8.524825 		
ehom	4	Vsx2			9.19222 	7.757643 	8.370535 		
ehom	5	Vsx2		11.26649 	8.73108 	6.40963 			
ehom	6	Vsx2		9.10530 	8.74530 	6.31932 	8.43501 		
khet	1	Vsx2			8.76013 	9.51689 	9.66415 		
khet	2	Vsx2			10.70075 	10.00562 	10.08256 		
khet	3	Vsx2				9.447545 	8.50113 		
khet	4	Vsx2			10.05261 	9.399213 	8.14194 		
khet	5	Vsx2		10.09886 	10.07161 		10.18646 		
khet	6	Vsx2		10.82106 	9.90755 		9.90081 		
khom	1	Vsx2			8.23554 	5.960906 	8.860092 		
khom	2	Vsx2			8.32430 	5.989183 	8.799227 		
khom	3	Vsx2			7.96084 	6.972940 	8.792012 		
khom	4	Vsx2			7.33529 	7.290380 	9.191058 		
khom	5	Vsx2		9.44967 	10.20157 	9.53349 			
khom	6	Vsx2		8.65362 	9.59449 	10.11327 			
khom	7	Vsx2				8.062553 			
khom	8	Vsx2				8.172881 			
khom	9	Vsx2				8.025101 			
khom	10	Vsx2				7.606481 			
wt	1								
wt	2								
wt	3								
wt	4								
wt	5								
wt	6								
wt	7								
ehet	1								
ehet	2								
ehet	3								
ehet	4								
ehet	5								
ehet	6								
ehom	1								
ehom	2								
ehom	3								
ehom	4								
ehom	5								
ehom	6								
khet	1								
khet	2								
khet	3								
khet	4								
khet	5								
khet	6								
khom	1								
khom	2								
khom	3								
khom	4								
khom	5								
khom	6								
khom	7								
khom	8								
khom	9								
khom	10								
