genotype	rep	gene	p0	p3	p5	p7	p10	p14	p21
ehet	2	Rho	12.42867 	9.89374 	7.06119 	3.687736838	2.940695506	2.246686758	1.293155 
ehet	3	Rho	11.90157 	9.71598 	8.17626 	4.15857705	3.211864767	1.923255998	1.294145 
ehet	4	Rho	11.94109 	9.63184 	6.80441 	4.468971038	3.632365713	2.364762 	1.401684 
ehet	5	Rho			7.37128 	5.18364 	2.51526 		
ehet	6	Rho			7.76334 	4.91583 	2.01712 		
ehom	1	Rho	14.23556 	11.99499 	7.95830 	5.380284863	4.29005465	3.029457238	3.269331 
ehom	2	Rho	13.19624 	12.13963 	8.30571 	5.249063546	3.492114601	1.568761964	2.746573 
ehom	3	Rho	13.02550 	12.03741 	8.17351 	5.756959726	3.013814055	2.74324753	3.340362 
ehom	4	Rho	13.41131 	11.65071 	7.66891 	5.165304518	4.241550861	2.968206966	2.916817 
ehom	5	Rho		11.11534 	7.26358 	5.73398 	2.49092 		
ehom	6	Rho		10.61274 	7.43294 		3.76532 		
khet	1	Rho	12.42713 	10.71426 	8.90012 	6.73658 	6.031616276	5.685999603	5.926436974
khet	2	Rho	12.21237 	11.00727 	10.11451 	7.44984 	6.947318505	6.321832095	6.044876514
khet	3	Rho	11.72032 	10.86664 		7.108776 	5.582444645	5.90986101	6.043253007
khet	4	Rho	11.57734 	12.54969 	8.84890 	7.067532 	5.835842351	6.041291068	4.771746995
khet	5	Rho		10.03596 	8.96658 		5.68361 		
khet	6	Rho		11.54146 	8.71136 		5.53603 		
khom	1	Rho	13.35158 	12.51008 	12.09829 	10.48981248	14.46600527	16.34405064	15.11668951
khom	2	Rho	13.67015 	12.79579 	12.78792 	11.47754747	13.75961707	14.88783603	15.05023977
khom	3	Rho	12.76631 	13.20301 	11.98053 	11.9443634	11.24306031	15.64695339	14.75695955
khom	4	Rho	12.50515 	11.93767 	12.02663 	12.03709053	12.83158096	14.57089872	14.8730014
khom	5	Rho		15.20409 	13.80952 	11.91230 	14.93469 		
khom	6	Rho		13.64090 	12.96641 	12.65895 	12.97151 		
khom	7	Rho				12.85183939			
khom	8	Rho				12.34336383			
khom	9	Rho				12.41269289			
khom	10	Rho				11.89192709			
wt	1	Rcvrn	11.1168	9.59878 	7.37257 	5.068210 	4.505588 	2.781821 	2.867268 
wt	2	Rcvrn	11.0344	8.89862 	7.00873 	4.821572 	4.131704 	2.221621 	2.681178 
wt	3	Rcvrn	10.8512	8.77509 	7.51096 	4.758717 	5.137322 	2.949115 	2.856338 
wt	4	Rcvrn	10.6222	9.23918 	6.64517 	4.573564 	3.998959 	2.641870 	2.134854 
wt	5	Rcvrn		9.38721 	6.735049 	5.68833 	3.03004 		3.155425 
wt	6	Rcvrn		8.80538 	7.610559 	4.85682 	3.04053 		2.79658 
wt	7	Rcvrn			7.58467 				2.68713 
ehet	1	Rcvrn	11.0638	8.026164 	5.41125 	4.186154 	2.726366 	2.601145 	2.973086 
ehet	2	Rcvrn	10.7305	8.267477 	5.72282 	4.128365 	2.046505 	2.509239 	2.848428 
ehet	3	Rcvrn	9.7523	7.964550 	6.53544 	3.887367 	2.793866 	2.129815 	2.462662 
ehet	4	Rcvrn	10.7322	7.798867 	6.01090 	4.369222 	2.351846 	2.603008 	2.406823 
ehet	5	Rcvrn		9.43181 	6.78616 	4.83305 	2.85688 		
ehet	6	Rcvrn		9.11916 	6.64354 	4.84978 	2.49327 		
ehom	1	Rcvrn	12.5160	9.739751 	6.01455 	4.529582 	2.986171 	2.722294 	2.247730 
ehom	2	Rcvrn	11.5310	9.559143 	6.14809 	4.371203 	3.074029 	2.450762 	2.040202 
ehom	3	Rcvrn	12.0326	9.405321 	6.40502 	4.489337 	2.610951 	2.474709 	2.160189 
ehom	4	Rcvrn	11.5999	9.177060 	6.02775 	4.352489 	2.686671 	2.894028 	1.919178 
ehom	5	Rcvrn		9.35713 	6.11993 	4.64036 	2.62042 		
ehom	6	Rcvrn		9.18691 	6.24323 		2.49189 		
khet	1	Rcvrn	12.2829	9.995062 	8.846377 	8.08567 	5.733421 	4.299240 	3.917310 
khet	2	Rcvrn	12.1474	10.388346 	10.65660 	8.45676 	5.698276 	3.552544 	3.625415 
khet	3	Rcvrn	12.0241	9.468231 		8.108806 	5.846925 	4.206866 	3.987552 
